Category,Item,Key (Photoshop layer name),Price,Type,Notes
BEER,Spitfire Lager — half,lager_half,£4.00,text,
BEER,Spitfire Lager — pint,lager_pint,£8.00,text,
BEER,Orchard View — half,cider_half,£4.00,text,
BEER,Orchard View — pint,cider_pint,£8.00,text,
BEER,Cruzcampo — half,cruzcampo_half,£4.50,text,VIP menu only
BEER,Cruzcampo — pint,cruzcampo_pint,£8.50,text,VIP menu only
WINE,Rose Blush — glass,wine_rose_glass,£12,text,
WINE,Rose Blush — bottle,wine_rose_bottle,£35,text,
WINE,Richelieu Blanc — glass,wine_richelieu_glass,£10,text,
WINE,Prosecco — glass,wine_prosecco_glass,£10,text,
WINE,Prosecco — bottle,wine_prosecco_bottle,£30,text,
SHOTS,Myst Salted Caramel,shot_salted_caramel,£6,text,
SHOTS,Myst Coffee Tequila,shot_coffee_tequila,£6,text,
SHOTS,Jagermeister,shot_jager,£7,text,
SHOTS,Tequila Rose,shot_tequila_rose,£6,text,
SHOTS,Glass of Pimms,shot_pimms,£10,text,VIP menu only
SPIRITS & MIXER,Zubrowka Vodka — 25ml,spirit_zubrowka_25,£8,text,
SPIRITS & MIXER,Zubrowka Vodka — 50ml,spirit_zubrowka_50,£12,text,
SPIRITS & MIXER,Zubrowka Rasp & Lemonade — 25ml,spirit_zubrowka_rasp_25,£8,text,
SPIRITS & MIXER,Zubrowka Rasp & Lemonade — 50ml,spirit_zubrowka_rasp_50,£12,text,
SPIRITS & MIXER,Gordons Gin — 25ml,spirit_gin_25,£8,text,
SPIRITS & MIXER,Gordons Gin — 50ml,spirit_gin_50,£12,text,
SPIRITS & MIXER,Gordons Pink Gin — 25ml,spirit_pinkgin_25,£8,text,
SPIRITS & MIXER,Gordons Pink Gin — 50ml,spirit_pinkgin_50,£12,text,
SPIRITS & MIXER,Myst Spiced Apple Rum — 25ml,spirit_rum_25,£8,text,
SPIRITS & MIXER,Myst Spiced Apple Rum — 50ml,spirit_rum_50,£12,text,
SPIRITS & MIXER,Jack Daniels — 25ml,spirit_jack_25,£9,text,
SPIRITS & MIXER,Jack Daniels — 50ml,spirit_jack_50,£13,text,
SOFT DRINKS,Coke Zero / Lemonade,soft_coke,£3.50,text,
SOFT DRINKS,Red Bull,soft_redbull,£4.00,text,
SOFT DRINKS,Schweppes Tonic / Soda,soft_tonic,£2.50,text,
SOFT DRINKS,Bottle of Water,soft_water,£3.00,text,
OPTIONS (show / hide),Show Cruzcampo row,row_cruzcampo,TRUE,show,Set FALSE to hide on menus that don't serve it
OPTIONS (show / hide),Show Pimms row,row_pimms,TRUE,show,Set FALSE to hide when Pimms is off
